rl	V(out)
1.000000000000000e+002	8.061532e+000
2.000000000000000e+002	8.061532e+000
3.000000000000000e+002	8.061532e+000
4.000000000000000e+002	8.061532e+000
5.000000000000000e+002	8.061532e+000
6.000000000000000e+002	8.061532e+000
7.000000000000000e+002	8.061532e+000
8.000000000000000e+002	8.061532e+000
9.000000000000000e+002	8.061532e+000
1.000000000000000e+003	8.061532e+000
1.100000000000000e+003	8.061532e+000
1.200000000000000e+003	8.061532e+000
1.300000000000000e+003	8.061532e+000
1.400000000000000e+003	8.061532e+000
1.500000000000000e+003	8.061532e+000
1.600000000000000e+003	8.061532e+000
1.700000000000000e+003	8.061532e+000
1.800000000000000e+003	8.061532e+000
1.900000000000000e+003	8.061532e+000
2.000000000000000e+003	8.061532e+000
